"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"SCRIPTS/CONTENT/gothic.d:4040","Cavalorn może mi pokazać, jak korzystać z łuku oraz jak się skradać.","","","False","logtext_addon_cavalorn_teach","",""
"SCRIPTS/CONTENT/gothic.d:4041","Mag Wody, Cronos, ma kilka interesujących przedmiotów, które może mi sprzedać.","","","False","logtext_addon_cronostrade","",""
"SCRIPTS/CONTENT/gothic.d:4042","Kupiec Erol może sprzedać mi różne rzeczy. Jego chata znajduje się pomiędzy karczmą 'Martwa Harpia', a farmą Onara.","","","False","logtext_addon_eroltrade","",""
"SCRIPTS/CONTENT/gothic.d:4043","Kupiec Erol może mi pokazać, jak stać się silniejszym.","","","False","logtext_addon_erol_teach","",""
"SCRIPTS/CONTENT/gothic.d:4044","Tylko Mag Wody może wprowadzić kogoś do Wodnego Kręgu.","","","False","logtext_addon_kdwright","",""
"SCRIPTS/CONTENT/gothic.d:4045","Nauczyłem się języka wieśniaków. To podstawowy język ludu budowniczych.","","","False","logtext_addon_language_1","",""
"SCRIPTS/CONTENT/gothic.d:4046","Nauczyłem się języka wojowników.","","","False","logtext_addon_language_2","",""
"SCRIPTS/CONTENT/gothic.d:4047","Nauczyłem się języka kapłanów.","","","False","logtext_addon_language_3","",""
"SCRIPTS/CONTENT/gothic.d:4048","Martin, kwatermistrz paladynów, może sprzedać mi rzeczy z ich magazynu.","","","False","logtext_addon_martintrade","",""
"SCRIPTS/CONTENT/gothic.d:4049","Myxir może nauczyć mnie czytać w prastarym języku budowniczych.","","","False","logtext_addon_myxirteach","",""
"SCRIPTS/CONTENT/gothic.d:4050","Od Nefariusa mogę dowiedzieć się, jak tworzyć runy.","","","False","logtext_addon_nefariusteach","",""
"SCRIPTS/CONTENT/gothic.d:4051","Kruk ma kopalnię, w której każe wydobywać złoto niewolnikom.","","","False","logtext_addon_ravensgoldmine","",""
"SCRIPTS/CONTENT/gothic.d:4052","W świątyni Adanosa władcy Jarkendaru wybudowali trzy komnaty pełne zabójczych pułapek, które miały zatrzymać każdego intruza. Kluczem do nich są barwne relikty budowniczych.","","","False","logtext_addon_relicts","",""
"SCRIPTS/CONTENT/gothic.d:4053","Riordian może nauczyć mnie sztuki warzenia mikstur.","","","False","logtext_addon_riordianteachalchemy","",""
"SCRIPTS/CONTENT/gothic.d:4054","Riordian może nauczyć mojego ognika szukania przedmiotów.","","","False","logtext_addon_riordianteach","",""
"SCRIPTS/CONTENT/gothic.d:4055","Saturas może nauczyć mnie kręgów magii.","","","False","logtext_addon_saturasteach","",""
"SCRIPTS/CONTENT/gothic.d:4056","Wielu mieszkańców Khorinis zniknęło. Nie wiadomo, co się mogło z nimi stać.","","","False","logtext_addon_scknowsmisspeapl","",""
"SCRIPTS/CONTENT/gothic.d:4057","Skip dał mi rum dla Baltrama.","","","False","logtext_addon_skipsrumtobaltram","",""
"SCRIPTS/CONTENT/gothic.d:4058","Vatras weźmie ode mnie dziwne kamienne tablice, które można znaleźć w tym miejscu. Obiecał, że opłaci mi się to.","","","False","logtext_addon_vatrastrade","",""
"SCRIPTS/CONTENT/gothic.d:4059","Zwłoki rybaka leżą w ruinach na wschód od obozu Magów Wody.","","","False","logtext_addon_williamleiche","",""
"SCRIPTS/CONTENT/gothic.d:4060","Jednym z zaginionych ludzi jest William, rybak z portu w Khorinis.","","","False","logtext_addon_williammissing","",""
"SCRIPTS/CONTENT/gothic.d:4061","Mój ognik może wykryć następujące przedmioty:","","","False","logtext_addon_wisplearned","",""
"SCRIPTS/CONTENT/gothic.d:4062","Broń dystansową i amunicję","","","False","logtext_addon_wisplearned_ff","",""
"SCRIPTS/CONTENT/gothic.d:4063","Żywność i rośliny","","","False","logtext_addon_wisplearned_food","",""
"SCRIPTS/CONTENT/gothic.d:4064","Pierścienie i amulety","","","False","logtext_addon_wisplearned_magic","",""
"SCRIPTS/CONTENT/gothic.d:4065","Broń do walki wręcz","","","False","logtext_addon_wisplearned_nf","",""
"SCRIPTS/CONTENT/gothic.d:4066","Złoto, klucze i narzędzia","","","False","logtext_addon_wisplearned_none","",""
"SCRIPTS/CONTENT/gothic.d:4067","Wszelkiego rodzaju mikstury","","","False","logtext_addon_wisplearned_potions","",""
"SCRIPTS/CONTENT/gothic.d:4068","Runy i zwoje","","","False","logtext_addon_wisplearned_rune","",""
"SCRIPTS/CONTENT/gothic.d:4069","Brandon może mi pokazać, jak stać się silniejszym i bardziej zwinnym.","","","False","log_text_addon_brandonteach","",""
"SCRIPTS/CONTENT/gothic.d:4070","Garret jest kupcem u piratów. Mogę u niego dostać wszystko, z wyjątkiem gorzałki.","","","False","log_text_addon_garetttrade","",""
"SCRIPTS/CONTENT/gothic.d:4071","Henry może mi pokazać, jak walczyć bronią dwuręczną i strzelać z kuszy.","","","False","log_text_addon_henryteach","",""
"SCRIPTS/CONTENT/gothic.d:4072","Morgan może mi pokazać, jak walczyć bronią jednoręczną.","","","False","log_text_addon_morganteach","",""
"SCRIPTS/CONTENT/gothic.d:4073","Samuel jest gorzelnikiem. Może mi sprzedać wszelakie alkohole.","","","False","log_text_addon_samueltrade","",""
"SCRIPTS/CONTENT/gothic.d:4074","Bandyci mają kopalnię złota. A więc dlatego tu przybyli.","","","False","log_text_addon_scoutbandits","",""
"SCRIPTS/CONTENT/gothic.d:4075","Składniki runy 'Gejzer': 1 akwamaryn","","","False","log_text_addon_talentrune_geyser","",""
"SCRIPTS/CONTENT/gothic.d:4076","Składniki runy 'Lodowa lanca': 1 kwarcyt","","","False","log_text_addon_talentrune_icelance","",""
"SCRIPTS/CONTENT/gothic.d:4077","Składniki runy 'Grom': 1 skała krystaliczna i 1 skrzydło","","","False","log_text_addon_talentrune_thunderstorm","",""
"SCRIPTS/CONTENT/gothic.d:4078","Składniki runy 'Wodna pięść': 1 akwamaryn i 1 skała krystaliczna","","","False","log_text_addon_talentrune_waterfist","",""
"SCRIPTS/CONTENT/gothic.d:4079","Składniki runy 'Wir': 1 skrzydło","","","False","log_text_addon_talentrune_whirlwind","",""
"SCRIPTS/CONTENT/gothic.d:4080","Złoto dla Brutusa","","","False","topicbrutuskasse","",""
