"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"SCRIPTS/CONTENT/gothic.d:4039","Polowanie na szczury","Rat hunt","","False","topic_addon_rathunt","",""
"SCRIPTS/CONTENT/gothic.d:4041","Mięso dla Morgana","Meat for Morgan","","False","topic_addon_bringmeat","",""
"SCRIPTS/CONTENT/gothic.d:4043","Wieża","It's gone","","False","topic_addon_banditstower","",""
"SCRIPTS/CONTENT/gothic.d:4045","Drewno na palisadę","Palisade wood","","False","topic_addon_holowen","",""
"SCRIPTS/CONTENT/gothic.d:4047","Kompas Garretta","Garretts compass","","False","topic_addon_kompass","",""
"SCRIPTS/CONTENT/gothic.d:4049","Grog dla kucharza","Grog for the cook","","False","topic_addon_roastgrog","",""
"SCRIPTS/CONTENT/gothic.d:4051","Napój dla Brandona","A drink for Brandon","","False","topic_addon_brandonbooze","",""
"SCRIPTS/CONTENT/gothic.d:4053","Plaża na północy","Pla¿a na pó³nocy","","","topic_addon_morganbeach","",""
"SCRIPTS/CONTENT/gothic.d:4055","Angus i Hank","Angus i Hank","","","topic_addon_angushank","",""
"SCRIPTS/CONTENT/gothic.d:4057","Opuszczony Skip","Opuszczony Skip","","","topic_addon_skipsgrog","",""
"SCRIPTS/CONTENT/gothic.d:4059","Morderca Angusa i Hanka","Morderca Angusa i Hanka","","","topic_addon_killjuan","",""
"SCRIPTS/CONTENT/gothic.d:4061","Polowanie na brzytwiaki","Polowanie na brzytwiaki","","","topic_addon_clearcanyon","",""
"SCRIPTS/CONTENT/gothic.d:4063","Szpiegowanie bandytów","Spying on the bandits","","","topic_addon_scoutbandits","",""
"SCRIPTS/CONTENT/gothic.d:4065","Malcolm","Malcolm","","","topic_addon_malcomsstunt","",""
"SCRIPTS/CONTENT/gothic.d:4067","Handel u piratów","Handel u piratów","","","topic_addon_pir_trader","",""
"SCRIPTS/CONTENT/gothic.d:4069","Nauka u piratów","Nauka u piratów","","","topic_addon_pir_teacher","",""
"SCRIPTS/CONTENT/gothic.d:4071","Bandyci mają kopalnię złota. A więc dlatego tu przybyli.","The bandits have a gold mine. So that's why they are here.","","","log_text_addon_scoutbandits","",""
"SCRIPTS/CONTENT/gothic.d:4073","Henry może mi pokazać, jak walczyć bronią dwuręczną i strzelać z kuszy.","Henry mo¿e mi pokazaæ, jak walczyæ broni¹ dwurêczn¹ i strzelaæ z kuszy.","","","log_text_addon_henryteach","",""
"SCRIPTS/CONTENT/gothic.d:4075","Morgan może mi pokazać, jak walczyć bronią jednoręczną.","Morgan mo¿e mi pokazaæ, jak walczyæ broni¹ jednorêczn¹.","","","log_text_addon_morganteach","",""
"SCRIPTS/CONTENT/gothic.d:4077","Brandon może mi pokazać, jak stać się silniejszym i bardziej zwinnym.","Brandon mo¿e mi pokazaæ, jak staæ siê silniejszym i bardziej zwinnym.","","","log_text_addon_brandonteach","",""
"SCRIPTS/CONTENT/gothic.d:4079","Garret jest kupcem u piratów. Mogę u niego dostać wszystko, z wyjątkiem gorzałki.","Garret jest kupcem u piratów. Mogê u niego dostaæ wszystko, z wyj¹tkiem gorza³ki.","","","log_text_addon_garetttrade","",""
"SCRIPTS/CONTENT/gothic.d:4081","Samuel jest gorzelnikiem. Może mi sprzedać wszelakie alkohole.","Samuel jest gorzelnikiem. Mo¿e mi sprzedaæ wszelakie alkohole.","","","log_text_addon_samueltrade","",""
"SCRIPTS/CONTENT/gothic.d:4083","Składniki runy 'Wir': 1 skrzydło","Ingredients for the rune 'Whirlwind': 1 wing","","","log_text_addon_talentrune_whirlwind","",""
"SCRIPTS/CONTENT/gothic.d:4085","Składniki runy 'Lodowa lanca': 1 kwarcyt","Ingredients for the rune 'Ice Lance': 1 glacier quartz","","","log_text_addon_talentrune_icelance","",""
"SCRIPTS/CONTENT/gothic.d:4087","Składniki runy 'Gejzer': 1 akwamaryn","Ingredients for the rune 'Geyser': 1 aquamarine","","","log_text_addon_talentrune_geyser","",""
"SCRIPTS/CONTENT/gothic.d:4089","Składniki runy 'Wodna pięść': 1 akwamaryn i 1 skała krystaliczna","Ingredients for the rune 'Water Fist': 1 aquamarine and 1 mountain quartz","","","log_text_addon_talentrune_waterfist","",""
"SCRIPTS/CONTENT/gothic.d:4091","Składniki runy 'Grom': 1 skała krystaliczna i 1 skrzydło","Ingredients for the rune 'Storm': 1 mountain quartz and 1 wing","","","log_text_addon_talentrune_thunderstorm","",""
"SCRIPTS/CONTENT/gothic.d:4093","Bennet siedzi w więzieniu","Bennet is in prison","","False","topic_rescuebennet","",""
"SCRIPTS/CONTENT/gothic.d:4095","Potrzebuję okrętu","I need a ship.","","","topic_ship","",""
"SCRIPTS/CONTENT/gothic.d:4097","Nie można podróżować bez załogi","No traveling without a crew.","","","topic_crew","",""
"SCRIPTS/CONTENT/gothic.d:4099","Kto będzie dowodził moim okrętem?","Who will be my captain?","","","topic_captain","",""
"SCRIPTS/CONTENT/gothic.d:4101","Raport","Report","","","topic_raportpablo","",""
"SCRIPTS/CONTENT/gothic.d:4103","Eskorta","Escort","","","topic_daronescort","",""
"SCRIPTS/CONTENT/gothic.d:4105","Informacje o orkach","Information about the orcs","","False","topic_orcinfo","",""
"SCRIPTS/CONTENT/gothic.d:4107","Listy","Letters","","","topic_lists","",""
"SCRIPTS/CONTENT/gothic.d:4109","Ruda dla kowala","Ore for the blacksmith","","","topic_nuggets","",""
"SCRIPTS/CONTENT/gothic.d:4111","Towary Pecka","Peck's Goods","","False","topic_peckproblem","",""
"SCRIPTS/CONTENT/gothic.d:4113","Gildia Zabójców","Assassins Guild","","","topic_assassinsguild","",""
"SCRIPTS/CONTENT/gothic.d:4115","Na przełęcz","To the mountain pass","","False","topic_namelessow","",""
"SCRIPTS/CONTENT/gothic.d:4117","Bandyci w latarni","Bandits at the lighthouse","","False","topic_orcpatrol","",""
"SCRIPTS/CONTENT/gothic.d:4119","Farma Lobarta","Lobart's Farm","","False","topic_lobartfarm","",""
"SCRIPTS/CONTENT/gothic.d:4121","Morderstwo Lothara","Murder of Lothar","","False","topic_deadpaladin","",""
"SCRIPTS/CONTENT/gothic.d:4123","Miecz Paladyna","Paladin's Sword","","False","topic_paladinsword","",""
"SCRIPTS/CONTENT/gothic.d:4125","Błogosławieństwo","Blessing","","","topic_dementorblood","",""
"SCRIPTS/CONTENT/gothic.d:4127","Nie ma tu miejsca dla bandytów","There is no place for bandits here","","False","topic_banditsmod","",""
"SCRIPTS/CONTENT/gothic.d:4129","Orkowy miecz","Orcish Sword","","False","topic_orcsword","",""
"SCRIPTS/CONTENT/gothic.d:4131","Tajemnicza Śmierć","Mysterious Death","","","topic_samobojstwo","",""
"SCRIPTS/CONTENT/gothic.d:4133","Łowca Głów","Headhunter","","","topic_headhunter","",""
"SCRIPTS/CONTENT/gothic.d:4135","Staruszka","The Old Woman","","False","topic_jag","",""
"SCRIPTS/CONTENT/gothic.d:4137","Polowanie na błotne węże","Swamp shark hunt","","","topic_addon_logan","",""
"SCRIPTS/CONTENT/gothic.d:4139","Kamienna tablica na bagnie","The stone tablet in the swamp","","","topic_addon_stoneplate","",""
"SCRIPTS/CONTENT/gothic.d:4141","Wejdź (do obozu bandytów)","Forward (into the bandit camp)","","","topic_addon_franco","",""
