"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"SCRIPTS/CONTENT/gothic.d:97086","KONIEC","KONIEC","","","dia_wulfgar_exit.description","",""
"SCRIPTS/CONTENT/gothic.d:97103","Zacznijmy trening.","Zacznijmy trening.","","","dia_wulfgar_teachmod.description","",""
"SCRIPTS/CONTENT/gothic.d:97113","Zacznijmy trening.","Zacznijmy trening.","","","dia_wulfgar_teachmod_15_00","",""
"SCRIPTS/CONTENT/gothic.d:97115","Nie trenujê najemników!","Nie trenujê najemników!","","","dia_wulfgar_add_04_00","",""
"SCRIPTS/CONTENT/gothic.d:97119","Oczywiœcie, wielebny.","Oczywiœcie, wielebny.","","","dia_wulfgar_add_04_01","",""
"SCRIPTS/CONTENT/gothic.d:97184","Chcê byæ silniejszy.","Chcê byæ silniejszy.","","","dia_mortis_teach.description","",""
"SCRIPTS/CONTENT/gothic.d:97192","Chcê byæ silniejszy.","Chcê byæ silniejszy.","","","dia_mortis_teach_15_00","",""
"SCRIPTS/CONTENT/gothic.d:97201","Ju¿ jesteœ silny. Jeœli potrzebujesz dalszego treningu, bêdziesz sobie musia³ poszukaæ innego nauczyciela.","Ju¿ jesteœ silny. Jeœli potrzebujesz dalszego treningu, bêdziesz sobie musia³ poszukaæ innego nauczyciela.","","","dia_mortis_teach_13_00","",""
"SCRIPTS/CONTENT/gothic.d:97228","KONIEC","KONIEC","","","dia_pablo_exit.description","",""
"SCRIPTS/CONTENT/gothic.d:97245","Przyszed³em po raport.","Przyszed³em po raport.","","","dia_pablo_raport.description","",""
"SCRIPTS/CONTENT/gothic.d:97255","Przyszed³em po raport.","Przyszed³em po raport.","","","dia_pablo_raport_15_01","",""
"SCRIPTS/CONTENT/gothic.d:97256","Raport?","Raport?","","","dia_pablo_raport_03_02","",""
"SCRIPTS/CONTENT/gothic.d:97257","Andre ciê przys³al?","Andre ciê przys³al?","","","dia_pablo_raport_03_03","",""
"SCRIPTS/CONTENT/gothic.d:97258","Zgadza siê.","Zgadza siê.","","","dia_pablo_raport_15_08","",""
"SCRIPTS/CONTENT/gothic.d:97259","I masz mi opowiedzieæ o sytuacji w mieœcie.","I masz mi opowiedzieæ o sytuacji w mieœcie.","","","dia_pablo_raport_15_09","",""
"SCRIPTS/CONTENT/gothic.d:97260","Rekrut?","Rekrut?","","","dia_pablo_raport_03_10","",""
"SCRIPTS/CONTENT/gothic.d:97261","No tak.","No tak.","","","dia_pablo_raport_15_11","",""
"SCRIPTS/CONTENT/gothic.d:97262","Dobra, Lordowi mo¿esz powiedzieæ, ¿e jest jak zawsze i on dobrze o tym wie.","Dobra, Lordowi mo¿esz powiedzieæ, ¿e jest jak zawsze i on dobrze o tym wie.","","","dia_pablo_raport_03_12","",""
"SCRIPTS/CONTENT/gothic.d:97263","A co do sytuacji...","A co do sytuacji...","","","dia_pablo_raport_03_13","",""
"SCRIPTS/CONTENT/gothic.d:97264","Zacznê od miasta...","Zacznê od miasta...","","","dia_pablo_raport_03_14","",""
"SCRIPTS/CONTENT/gothic.d:97265","Nie jesteœ st¹d?","Nie jesteœ st¹d?","","","dia_pablo_raport_03_16","",""
