"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"SCRIPTS/CONTENT/gothic.d:15399","Amulet Franka","Amulet Franka","","","itam_addon_franco.description","",""
"SCRIPTS/CONTENT/gothic.d:15442","Amulet Uzdrowiciela","Amulet Uzdrowiciela","","","itam_addon_health.description","",""
"SCRIPTS/CONTENT/gothic.d:15484","Pierścień Uzdrowiciela","Pierścień Uzdrowiciela","","","itri_addon_health_01.description","",""
"SCRIPTS/CONTENT/gothic.d:15528","Pierścień Uzdrowiciela","Pierścień Uzdrowiciela","","","itri_addon_health_02.description","",""
"SCRIPTS/CONTENT/gothic.d:15572","Amulet Kapłana","Amulet Kapłana","","","itam_addon_mana.description","",""
"SCRIPTS/CONTENT/gothic.d:15614","Pierścień Kapłana","Pierścień Kapłana","","","itri_addon_mana_01.description","",""
"SCRIPTS/CONTENT/gothic.d:15658","Pierścień Kapłana","Pierścień Kapłana","","","itri_addon_mana_02.description","",""
"SCRIPTS/CONTENT/gothic.d:15702","Amulet Wojownika","Amulet Wojownika","","","itam_addon_str.description","",""
"SCRIPTS/CONTENT/gothic.d:15746","Pierścień Wojownika","Pierścień Wojownika","","","itri_addon_str_01.description","",""
"SCRIPTS/CONTENT/gothic.d:15792","Pierścień Wojownika","Pierścień Wojownika","","","itri_addon_str_02.description","",""
"SCRIPTS/CONTENT/gothic.d:15845","Pirackie ubranie","Pirackie ubranie","","","itar_pir_l_addon.name","",""
"SCRIPTS/CONTENT/gothic.d:15873","Piracka zbroja","Piracka zbroja","","","itar_pir_m_addon.name","",""
"SCRIPTS/CONTENT/gothic.d:15901","Ubranie kapitana","Ubranie kapitana","","","itar_pir_h_addon.name","",""
"SCRIPTS/CONTENT/gothic.d:15929","Ciężka zbroja gwardzisty","Ciężka zbroja gwardzisty","","","itar_thorus_addon.name","",""
"SCRIPTS/CONTENT/gothic.d:15943","Zbroja strażnika Kruka","Zbroja strażnika Kruka","","","itar_thorus_addon.description","",""
"SCRIPTS/CONTENT/gothic.d:15958","Zbroja Kruka","Zbroja Kruka","","","itar_raven_addon.name","",""
"SCRIPTS/CONTENT/gothic.d:15986","Zbroja magnata","Zbroja magnata","","","itar_orebaron_addon.name","",""
"SCRIPTS/CONTENT/gothic.d:16014","Zbroja Wodnego Kręgu","Zbroja Wodnego Kręgu","","","itar_ranger_addon.name","",""
"SCRIPTS/CONTENT/gothic.d:16042","Zniszczona zbroja","Zniszczona zbroja","","","itar_fake_ranger.name","",""
"SCRIPTS/CONTENT/gothic.d:16062","Lekka toga Maga Wody","Lekka toga Maga Wody","","","itar_kdw_l_addon.name","",""
"SCRIPTS/CONTENT/gothic.d:16090","Zbroja Bloodwyna","Zbroja Bloodwyna","","","itar_bloodwyn_addon.name","",""
"SCRIPTS/CONTENT/gothic.d:16118","Stara zbroja","Stara zbroja","","","itar_mayazombie_addon.name","",""
"SCRIPTS/CONTENT/gothic.d:16146","Magiczna zbroja","Magiczna zbroja","","","itar_firearmor_addon.name","",""
"SCRIPTS/CONTENT/gothic.d:16379","","","","","itmw_beliarweapon_raven.text[3]","",""
"SCRIPTS/CONTENT/gothic.d:16622","Skórzany pas","Skórzany pas","","","itbe_addon_leather_01.description","",""
"SCRIPTS/CONTENT/gothic.d:16677","Pas najemnika","Pas najemnika","","","itbe_addon_sld_01.description","",""
"SCRIPTS/CONTENT/gothic.d:16728","Szarfa Gotowości","Szarfa Gotowości","","","itbe_addon_nov_01.description","",""
"SCRIPTS/CONTENT/gothic.d:16779","Pas straży","Pas straży","","","itbe_addon_mil_01.description","",""
"SCRIPTS/CONTENT/gothic.d:16830","Szarfa Ognia","Szarfa Ognia","","","itbe_addon_kdf_01.description","",""
"SCRIPTS/CONTENT/gothic.d:16881","Pas Pełzacza","Pas Pełzacza","","","itbe_addon_mc.description","",""
"SCRIPTS/CONTENT/gothic.d:16932","Pas Siły","Pas Siły","","","itbe_addon_str_5.description","",""
"SCRIPTS/CONTENT/gothic.d:16959","Pas Mocy","Pas Mocy","","","itbe_addon_str_10.description","",""
"SCRIPTS/CONTENT/gothic.d:16986","Pas Umiejętności","Pas Umiejętności","","","itbe_addon_dex_5.description","",""
"SCRIPTS/CONTENT/gothic.d:17013","Pas Zręczności","Pas Zręczności","","","itbe_addon_dex_10.description","",""
"SCRIPTS/CONTENT/gothic.d:17040","Pas Ochrony","Pas Ochrony","","","itbe_addon_prot_edge.description","",""
"SCRIPTS/CONTENT/gothic.d:17069","Pas Obrony","Pas Obrony","","","itbe_addon_prot_point.description","",""
"SCRIPTS/CONTENT/gothic.d:17096","Pas Magicznej Obrony","Pas Magicznej Obrony","","","itbe_addon_prot_magic.description","",""
"SCRIPTS/CONTENT/gothic.d:17123","Pas Ognistego Biegacza","Pas Ognistego Biegacza","","","itbe_addon_prot_fire.description","",""
"SCRIPTS/CONTENT/gothic.d:17150","Pas Ochrony","Pas Ochrony","","","itbe_addon_prot_edgpoi.description","",""
"SCRIPTS/CONTENT/gothic.d:17183","Pas Strażnika","Pas Strażnika","","","itbe_addon_prot_total.description","",""
"SCRIPTS/CONTENT/gothic.d:17243","Ostryga","Ostryga","","","itfo_addon_shellflesh.name","",""
"SCRIPTS/CONTENT/gothic.d:17252","Soczysta ostryga","Soczysta ostryga","","","itfo_addon_shellflesh.text","",""
"SCRIPTS/CONTENT/gothic.d:17255","Smaczna nawet na surowo","Smaczna nawet na surowo","","","itfo_addon_shellflesh.text[2]","",""
"SCRIPTS/CONTENT/gothic.d:17256","","","","","itfo_addon_shellflesh.text[3]","",""
"SCRIPTS/CONTENT/gothic.d:17266","Rum","Rum","","","itfo_addon_rum.name","",""
"SCRIPTS/CONTENT/gothic.d:17274","Biały rum","Biały rum","","","itfo_addon_rum.description","",""
"SCRIPTS/CONTENT/gothic.d:17286","Grog","Grog","","","itfo_addon_grog.name","",""
"SCRIPTS/CONTENT/gothic.d:17294","Grog prawdziwego marynarza","Grog prawdziwego marynarza","","","itfo_addon_grog.description","",""
"SCRIPTS/CONTENT/gothic.d:17308","Młot Lou","Młot Lou","","","itfo_addon_loushammer.name","",""
"SCRIPTS/CONTENT/gothic.d:17316","Młot Lou","Młot Lou","","","itfo_addon_loushammer.description","",""
"SCRIPTS/CONTENT/gothic.d:17317","Efekt           ???","Efekt           ???","","","itfo_addon_loushammer.text[1]","",""
"SCRIPTS/CONTENT/gothic.d:17330","Podwójny Młot","Podwójny Młot","","","itfo_addon_schlafhammer.name","",""
"SCRIPTS/CONTENT/gothic.d:17338","Podwójny Młot","Podwójny Młot","","","itfo_addon_schlafhammer.description","",""
"SCRIPTS/CONTENT/gothic.d:17339","Pokona nawet najtwardszego pijaka...","Pokona nawet najtwardszego pijaka...","","","itfo_addon_schlafhammer.text[1]","",""
"SCRIPTS/CONTENT/gothic.d:17351","Szybki śledź","Szybki śledź","","","itfo_addon_schnellerhering.name","",""
"SCRIPTS/CONTENT/gothic.d:17359","Szybki śledź","Szybki śledź","","","itfo_addon_schnellerhering.description","",""
"SCRIPTS/CONTENT/gothic.d:17360","Wygląda groźnie!","Wygląda groźnie!","","","itfo_addon_schnellerhering.text[1]","",""
"SCRIPTS/CONTENT/gothic.d:17361","Efekty nieznane. Bardzo możliwe efekty uboczne!","Efekty nieznane. Bardzo możliwe efekty uboczne!","","","itfo_addon_schnellerhering.text[2]","",""
"SCRIPTS/CONTENT/gothic.d:17377","Torebka pieprzu","Torebka pieprzu","","","itfo_addon_pfeffer_01.name","",""
"SCRIPTS/CONTENT/gothic.d:17383","Ziarna czerwonego pieprzu","Ziarna czerwonego pieprzu","","","itfo_addon_pfeffer_01.description","",""
"SCRIPTS/CONTENT/gothic.d:17384","z Wysp Południowych.","z Wysp Południowych.","","","itfo_addon_pfeffer_01.text","",""
"SCRIPTS/CONTENT/gothic.d:17385","","","","","itfo_addon_pfeffer_01.text[1]","",""
"SCRIPTS/CONTENT/gothic.d:17386","","","","","itfo_addon_pfeffer_01.text[2]","",""
"SCRIPTS/CONTENT/gothic.d:17387","UWAGA – OSTRE!","UWAGA – OSTRE!","","","itfo_addon_pfeffer_01.text[3]","",""
"SCRIPTS/CONTENT/gothic.d:17388","","","","","itfo_addon_pfeffer_01.text[4]","",""
"SCRIPTS/CONTENT/gothic.d:17394","Ognisty gulasz","Ognisty gulasz","","","itfo_addon_firestew.name","",""
"SCRIPTS/CONTENT/gothic.d:17416","Gulasz","Gulasz","","","itfo_addon_meatsoup.name","",""
"SCRIPTS/CONTENT/gothic.d:17424","Dampfende Fleischsuppe","Dampfende Fleischsuppe","","","itfo_addon_meatsoup.description","",""
"SCRIPTS/CONTENT/gothic.d:17440","Zardzewiały klucz","Zardzewiały klucz","","","itke_portaltempelwalkthrough_addon.name","",""
"SCRIPTS/CONTENT/gothic.d:17447","Pasuje do drzwi kamienia teleportacyjnego","Pasuje do drzwi kamienia teleportacyjnego","","","itke_portaltempelwalkthrough_addon.text[2]","",""
"SCRIPTS/CONTENT/gothic.d:17448","w świątyni portalu.","w świątyni portalu.","","","itke_portaltempelwalkthrough_addon.text[3]","",""
"SCRIPTS/CONTENT/gothic.d:17461","Klucz do","Klucz do","","","itke_greg_addon_mis.text[2]","",""
"SCRIPTS/CONTENT/gothic.d:17462","chaty kapitana","chaty kapitana","","","itke_greg_addon_mis.text[3]","",""
"SCRIPTS/CONTENT/gothic.d:17463","Grega.","Grega.","","","itke_greg_addon_mis.text[4]","",""
"SCRIPTS/CONTENT/gothic.d:17475","Klucz Lou","Klucz Lou","","","itke_addon_tavern_01.description","",""
"SCRIPTS/CONTENT/gothic.d:17476","Otwiera gospodę","Otwiera gospodę","","","itke_addon_tavern_01.text[2]","",""
"SCRIPTS/CONTENT/gothic.d:17477","w obozie bandytów.","w obozie bandytów.","","","itke_addon_tavern_01.text[3]","",""
"SCRIPTS/CONTENT/gothic.d:17489","Klucz Estebana","Klucz Estebana","","","itke_addon_esteban_01.description","",""
"SCRIPTS/CONTENT/gothic.d:17490","Pasuje do skrzyni","Pasuje do skrzyni","","","itke_addon_esteban_01.text[2]","",""
"SCRIPTS/CONTENT/gothic.d:17491","w jego kryjówce.","w jego kryjówce.","","","itke_addon_esteban_01.text[3]","",""
"SCRIPTS/CONTENT/gothic.d:17503","Klucz Orlana","Klucz Orlana","","","itke_orlan_teleportstation.description","",""
"SCRIPTS/CONTENT/gothic.d:17504","Pasuje do drzwi w jaskini","Pasuje do drzwi w jaskini","","","itke_orlan_teleportstation.text[2]","",""
"SCRIPTS/CONTENT/gothic.d:17505","na południe od jego gospody.","na południe od jego gospody.","","","itke_orlan_teleportstation.text[3]","",""
"SCRIPTS/CONTENT/gothic.d:17518","Zabrany szamanowi w obozie orków,","Zabrany szamanowi w obozie orków,","","","itke_canyonlibrary_hierarchy_books_addon.text[2]","",""
"SCRIPTS/CONTENT/gothic.d:17519","naprzeciw biblioteki uczonych.","naprzeciw biblioteki uczonych.","","","itke_canyonlibrary_hierarchy_books_addon.text[3]","",""
"SCRIPTS/CONTENT/gothic.d:17531","Klucz do skrzyni","Klucz do skrzyni","","","itke_addon_buddler_01.description","",""
"SCRIPTS/CONTENT/gothic.d:17532","w obozie bandytów.","w obozie bandytów.","","","itke_addon_buddler_01.text[2]","",""
"SCRIPTS/CONTENT/gothic.d:17533","","","","","itke_addon_buddler_01.text[3]","",""
"SCRIPTS/CONTENT/gothic.d:17545","Klucz do skrzyni","Klucz do skrzyni","","","itke_addon_skinner.description","",""
"SCRIPTS/CONTENT/gothic.d:17546","Klucz Skinnera","Klucz Skinnera","","","itke_addon_skinner.text[2]","",""
"SCRIPTS/CONTENT/gothic.d:17547","","","","","itke_addon_skinner.text[3]","",""
"SCRIPTS/CONTENT/gothic.d:17559","Klucz Thorusa","Klucz Thorusa","","","itke_addon_thorus.description","",""
"SCRIPTS/CONTENT/gothic.d:17560","Pasuje do jego skrzyni.","Pasuje do jego skrzyni.","","","itke_addon_thorus.text[2]","",""
"SCRIPTS/CONTENT/gothic.d:17561","","","","","itke_addon_thorus.text[3]","",""
