"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"SCRIPTS/CONTENT/gothic.d:4039","Polowanie na szczury","Polowanie na szczury","","","topic_addon_rathunt","",""
"SCRIPTS/CONTENT/gothic.d:4041","Mięso dla Morgana","Mięso dla Morgana","","","topic_addon_bringmeat","",""
"SCRIPTS/CONTENT/gothic.d:4043","Wieża","Wieża","","","topic_addon_banditstower","",""
"SCRIPTS/CONTENT/gothic.d:4045","Drewno na palisadę","Drewno na palisadę","","","topic_addon_holowen","",""
"SCRIPTS/CONTENT/gothic.d:4047","Kompas Garretta","Kompas Garretta","","","topic_addon_kompass","",""
"SCRIPTS/CONTENT/gothic.d:4049","Grog dla kucharza","Grog dla kucharza","","","topic_addon_roastgrog","",""
"SCRIPTS/CONTENT/gothic.d:4051","Napój dla Brandona","Napój dla Brandona","","","topic_addon_brandonbooze","",""
"SCRIPTS/CONTENT/gothic.d:4053","Plaża na północy","Plaża na północy","","","topic_addon_morganbeach","",""
"SCRIPTS/CONTENT/gothic.d:4055","Angus i Hank","Angus i Hank","","","topic_addon_angushank","",""
"SCRIPTS/CONTENT/gothic.d:4057","Opuszczony Skip","Opuszczony Skip","","","topic_addon_skipsgrog","",""
"SCRIPTS/CONTENT/gothic.d:4059","Morderca Angusa i Hanka","Morderca Angusa i Hanka","","","topic_addon_killjuan","",""
"SCRIPTS/CONTENT/gothic.d:4061","Polowanie na brzytwiaki","Polowanie na brzytwiaki","","","topic_addon_clearcanyon","",""
"SCRIPTS/CONTENT/gothic.d:4063","Szpiegowanie bandytów","Szpiegowanie bandytów","","","topic_addon_scoutbandits","",""
"SCRIPTS/CONTENT/gothic.d:4065","Malcolm","Malcolm","","","topic_addon_malcomsstunt","",""
"SCRIPTS/CONTENT/gothic.d:4067","Handel u piratów","Handel u piratów","","","topic_addon_pir_trader","",""
"SCRIPTS/CONTENT/gothic.d:4069","Nauka u piratów","Nauka u piratów","","","topic_addon_pir_teacher","",""
"SCRIPTS/CONTENT/gothic.d:4071","Bandyci mają kopalnię złota. A więc dlatego tu przybyli.","Bandyci mają kopalnię złota. A więc dlatego tu przybyli.","","","log_text_addon_scoutbandits","",""
"SCRIPTS/CONTENT/gothic.d:4073","Henry może mi pokazać, jak walczyć bronią dwuręczną i strzelać z kuszy.","Henry może mi pokazać, jak walczyć bronią dwuręczną i strzelać z kuszy.","","","log_text_addon_henryteach","",""
"SCRIPTS/CONTENT/gothic.d:4075","Morgan może mi pokazać, jak walczyć bronią jednoręczną.","Morgan może mi pokazać, jak walczyć bronią jednoręczną.","","","log_text_addon_morganteach","",""
"SCRIPTS/CONTENT/gothic.d:4077","Brandon może mi pokazać, jak stać się silniejszym i bardziej zwinnym.","Brandon może mi pokazać, jak stać się silniejszym i bardziej zwinnym.","","","log_text_addon_brandonteach","",""
